Token file dump for '/aramis/Data/Source/Mondial/tokens'
Generated on 2002-12-15 12:24:29.068

tokenCount    = 12126
instanceCount = 588662
(' ', count=307308, hclen=1)
('1781', count=11, hclen=16)
('1803', count=11, hclen=16)
('1823', count=11, hclen=16)
('1839', count=11, hclen=16)
('1843', count=11, hclen=16)
('1911', count=11, hclen=16)
('1942', count=11, hclen=16)
('2006', count=11, hclen=16)
('370', count=11, hclen=16)
('3823', count=11, hclen=16)
('3838', count=11, hclen=16)
('6833', count=11, hclen=16)
('Al', count=11, hclen=16)
('Australia', count=11, hclen=16)
('Nakhon', count=11, hclen=16)
('Ukrainian', count=11, hclen=16)
('with', count=11, hclen=16)
('0333', count=10, hclen=16)
('1021', count=10, hclen=16)
('1042', count=10, hclen=16)
('1047', count=10, hclen=16)
('1055', count=10, hclen=16)
('1076', count=10, hclen=16)
('1085', count=10, hclen=16)
('1091', count=10, hclen=16)
('1094', count=10, hclen=16)
('1112', count=10, hclen=16)
('1113', count=10, hclen=16)
('1120', count=10, hclen=16)
('1123', count=10, hclen=16)
('1125', count=10, hclen=16)
('1175', count=10, hclen=16)
('1293', count=10, hclen=16)
('1331', count=10, hclen=16)
('1390', count=10, hclen=16)
('1515', count=10, hclen=16)
('1533', count=10, hclen=16)
('1554', count=10, hclen=16)
('1557', count=10, hclen=16)
('1563', count=10, hclen=16)
('1569', count=10, hclen=16)
('1595', count=10, hclen=16)
('1610', count=10, hclen=16)
('1630', count=10, hclen=16)
('1639', count=10, hclen=16)
('1666', count=10, hclen=16)
('1757', count=10, hclen=16)
('1879', count=10, hclen=16)
('1915', count=10, hclen=16)
('1919', count=10, hclen=16)
('3369', count=10, hclen=16)
('3541', count=10, hclen=16)
('3550', count=10, hclen=16)
('3667', count=10, hclen=16)
('3830', count=10, hclen=16)
('3839', count=10, hclen=16)
('3875', count=10, hclen=16)
('5167', count=10, hclen=16)
('605', count=10, hclen=16)
('9667', count=10, hclen=16)
('Buddhist', count=10, hclen=16)
('Lutheran', count=10, hclen=16)
('Peak', count=10, hclen=16)
('Polynesian', count=10, hclen=16)
('Puerto', count=10, hclen=16)
('States', count=10, hclen=16)
('Union', count=10, hclen=16)
('al', count=10, hclen=16)
('dependent', count=10, hclen=16)
('e', count=10, hclen=16)
('government', count=10, hclen=16)
('1001', count=9, hclen=16)
('1002', count=9, hclen=16)
('1012', count=9, hclen=16)
('1013', count=9, hclen=16)
('1014', count=9, hclen=16)
('1020', count=9, hclen=16)
('1023', count=9, hclen=16)
('1036', count=9, hclen=16)
('1048', count=9, hclen=16)
('1060', count=9, hclen=16)
('1068', count=9, hclen=16)
('1086', count=9, hclen=16)
('1095', count=9, hclen=16)
('1098', count=9, hclen=16)
('1102', count=9, hclen=16)
('1119', count=9, hclen=16)
('1122', count=9, hclen=16)
('1130', count=9, hclen=16)
('114', count=9, hclen=16)
('1145', count=9, hclen=16)
('1160', count=9, hclen=16)
('1170', count=9, hclen=16)
('118', count=9, hclen=16)
('1266', count=9, hclen=16)
('1330', count=9, hclen=16)
('1346', count=9, hclen=16)
('1370', count=9, hclen=16)
('1408', count=9, hclen=16)
('1420', count=9, hclen=16)
('1430', count=9, hclen=16)
('1434', count=9, hclen=16)
('1499', count=9, hclen=16)
('1507', count=9, hclen=16)
('1577', count=9, hclen=16)
('1599', count=9, hclen=16)
('1603', count=9, hclen=16)
('1606', count=9, hclen=16)
('1667', count=9, hclen=16)
('1694', count=9, hclen=16)
('1710', count=9, hclen=16)
('1785', count=9, hclen=16)
('1891', count=9, hclen=16)
('1902', count=9, hclen=16)
('1918', count=9, hclen=16)
('1930', count=9, hclen=16)
('1995', count=9, hclen=16)
('217', count=9, hclen=16)
('2200', count=9, hclen=16)
('2333', count=9, hclen=16)
('3167', count=9, hclen=16)
('3362', count=9, hclen=16)
('4667', count=9, hclen=16)
('6667', count=9, hclen=16)
('892', count=9, hclen=16)
('Adventist', count=9, hclen=16)
('American', count=9, hclen=16)
('Amerindian', count=9, hclen=16)
('Ciudad', count=9, hclen=16)
('Day', count=9, hclen=16)
('Northern', count=9, hclen=16)
('Ozero', count=9, hclen=16)
('Pacific', count=9, hclen=16)
('Seventh', count=9, hclen=16)
('Spanish', count=9, hclen=16)
('Springfield', count=9, hclen=16)
('Victoria', count=9, hclen=16)
('World', count=9, hclen=16)
('federal', count=9, hclen=16)
('multiparty', count=9, hclen=16)
('state', count=9, hclen=16)
('under', count=9, hclen=16)
(',', count=8, hclen=16)
('/', count=8, hclen=16)
('1008', count=8, hclen=16)
('103', count=8, hclen=16)
('1030', count=8, hclen=16)
('105', count=8, hclen=16)
('106', count=8, hclen=16)
('1064', count=8, hclen=16)
('107', count=8, hclen=16)
('1073', count=8, hclen=16)
